ID,Dog,Runs,Wins,Strike Rate,Longest Winning Sequence,Longest Losing Sequence,Current Losing Sequence,Last Run
385,Amazing Talent,18,4,22.22,2,10,1,26/12/2021
386,Amelia Sue,39,4,10.25,1,15,2,04/12/2021
387,Amelias Duchess,1,0,0,0,1,1,16/01/2021
388,Amelias Firebird,4,0,0,0,4,4,30/09/2021
389,Amelias Hi Ace,2,0,0,0,2,2,18/02/2021
390,Amelias Jester,50,2,4,1,27,5,29/12/2021
391,Amendola,9,2,22.22,2,6,6,24/09/2021
392,Ameras Topaz,3,0,0,0,3,3,15/03/2021
393,Amiable Aiden,22,6,27.27,1,7,1,23/12/2021
394,Amirillo,10,0,0,0,10,10,11/09/2021
395,Amka Erth,26,5,19.23,2,12,2,23/12/2021
396,Amka Owt,16,6,37.5,3,4,1,02/09/2021
397,Amka Rofe,2,0,0,0,2,2,04/09/2021
398,Ammas Grace,20,2,10,1,10,10,06/08/2021
399,Amuse The Droop,15,4,26.66,1,5,1,09/09/2021
400,Amwhatiam,18,2,11.11,1,7,6,08/06/2021
401,Amy Allie,4,0,0,0,4,4,24/12/2021
402,Amys Blue,8,1,12.5,1,5,5,06/11/2021
403,Amys Honey,13,1,7.69,1,12,12,31/10/2021
404,Amys Lee,25,3,12,1,10,3,27/12/2021
405,Amys Pinky,45,9,20,2,10,1,24/12/2021
406,Amys Puma,1,0,0,0,1,1,09/01/2021
407,Amys Sky,5,0,0,0,5,5,17/02/2021
408,Anamcara,40,8,20,3,14,1,23/12/2021
409,Anastasia,15,3,20,1,5,1,28/12/2021
410,Ancient East,32,6,18.75,3,12,0,20/12/2021
411,Andgofromthere,9,2,22.22,1,4,4,22/03/2021
412,Andys Heather,41,6,14.63,2,21,0,02/12/2021
413,Anfield Star,37,6,16.21,2,17,5,14/12/2021
414,Anfield Storm,42,9,21.42,3,12,5,30/12/2021
415,Angel Cakes,22,5,22.72,2,10,0,23/12/2021
416,Angel Of Light,12,2,16.66,2,7,7,23/09/2021
417,Angelas Rocket,39,3,7.69,1,16,9,16/11/2021
418,Angelina,44,8,18.18,3,12,0,29/11/2021
419,Angels Spirit,13,4,30.76,2,4,1,29/06/2021
420,Angies Girl,18,2,11.11,1,6,4,27/12/2021
421,Anglesey A Five,4,0,0,0,4,4,04/02/2021
422,Anglesey Gogirl,3,0,0,0,3,3,13/04/2021
423,Anglesey Hondo,1,0,0,0,1,1,13/04/2021
424,Anglesey Meeko,16,1,6.25,1,9,9,07/07/2021
425,Anglesey Patch,1,0,0,0,1,1,13/01/2021
426,Anglesey Solo,1,0,0,0,1,1,10/01/2021
427,Angry Betty,3,0,0,0,3,3,14/02/2021
428,Angry Granny,23,7,30.43,1,6,6,27/12/2021
429,Angry River,4,0,0,0,4,4,08/06/2021
430,Anhid Charmer,39,8,20.51,1,9,2,28/12/2021
431,Anmima Biddy,54,10,18.51,5,16,1,29/12/2021
432,Annabels Rose,6,1,16.66,1,5,0,21/12/2021
433,Annadown Blitz,37,10,27.02,2,9,3,11/12/2021
434,Annadown Cain,37,8,21.62,1,6,4,27/12/2021
435,Annadown Diva,38,9,23.68,2,7,2,19/12/2021
436,Annadown Linda,28,4,14.28,1,10,10,27/12/2021
437,Annadown Lola,29,5,17.24,2,8,1,27/12/2021
438,Annadown Lorna,4,0,0,0,4,4,27/07/2021
439,Annadown Lucy,19,5,26.31,2,9,9,04/12/2021
